id,name,short_name,country,type,region,group,lei,tickers,fdic_cert,peer_group,active
aib,AIB Group plc,AIB,IE,holding,eu,,635400AKJBGNS5WNQL34,A5G.IR,,eu_large,true
anz,Australia and New Zealand Banking Group Limited,ANZ,AU,bank,aus_can,,JHE42UYNWWTJB8YTTU19,ANZ.AX,,aus,true
commonwealth-bank,Commonwealth Bank of Australia,Commonwealth Bank,AU,bank,aus_can,,MSFSBD3QN1GSN7Q6C537,CBA.AX,,aus,true
nab,National Australia Bank Limited,NAB,AU,bank,aus_can,,F8SB4JFBSYQFRQEH3Z21,NAB.AX,,aus,true
westpac,Westpac Banking Corporation,Westpac,AU,bank,aus_can,,EN5TNI6CI43VEPAMHL14,WBC.AX,,aus,true
macquarie-bank,Macquarie Bank Limited,Macquarie Bank,AU,bank,aus_can,,4ZHCHI4KYZG2WVRT8631,MQG.AX,,aus,true
bendigo-and-adelaide-bank,Bendigo and Adelaide Bank Limited,Bendigo and Adelaide Bank,AU,bank,aus_can,,549300Y9URD6W70K0360,BEN.AX,,aus,true
rbc,Royal Bank of Canada,RBC,CA,bank,aus_can,,ES7IP3U3RHIGC71XBU11,RY.TO,,can,true
td-bank,The Toronto-Dominion Bank,TD Bank,CA,bank,aus_can,,PT3QB789TSUIDF371261,TD.TO,,can,true
scotiabank,The Bank of Nova Scotia,Scotiabank,CA,bank,aus_can,,L3I9ZG2KFGXZ61BMYR72,BNS.TO,,can,true
bmo,Bank of Montreal,BMO,CA,bank,aus_can,,NQQ6HPCNCCU6TUTQYE16,BMO.TO,,can,true
cibc,Canadian Imperial Bank of Commerce,CIBC,CA,bank,aus_can,,2IGI19DL77OX0HC3ZE78,CM.TO,,can,true
national-bank-of-canada,National Bank of Canada,National Bank of Canada,CA,bank,aus_can,,BSGEFEIOM18Y80CKCV46,NA.TO,,can,true
dbs,DBS Bank Ltd.,DBS,SG,bank,asia,,ATUEL7OJR5057F2PV266,D05.SI,,asia,true
ocbc,Oversea-Chinese Banking Corporation Limited,OCBC,SG,bank,asia,,5493007O3QFXCPOGWK22,O39.SI,,asia,true
uob,United Overseas Bank Limited,UOB,SG,bank,asia,,IO66REGK3RCBAMA8HR66,U11.SI,,asia,true
hsbc-hong-kong,The Hongkong and Shanghai Banking Corporation Limited,HSBC Hong Kong,HK,bank,asia,hsbc-holdings,2HI3YI5320L3RW6NJ957,,,asia,true
bochk,Bank of China (Hong Kong) Limited,BOCHK,HK,bank,asia,,KNPC1X7GHDZW8U2ZSF89,2388.HK,,asia,true
standard-chartered-hk,Standard Chartered Bank (Hong Kong) Limited,Standard Chartered HK,HK,bank,asia,standard-chartered,X5AV1MBDXGRPX5UGMX13,,,asia,true
mufg,"Mitsubishi UFJ Financial Group, Inc.",MUFG,JP,holding,asia,,353800V2V8PUY9TK3E06,8306.T,,asia,true
smfg,"Sumitomo Mitsui Financial Group, Inc.",SMFG,JP,holding,asia,,35380028MYWPB6AUO129,8316.T,,asia,true
mizuho,"Mizuho Financial Group, Inc.",Mizuho,JP,holding,asia,,353800CI5L6DDAN5XZ33,8411.T,,asia,true
sumitomo-mitsui-trust,"Sumitomo Mitsui Trust Group, Inc.",Sumitomo Mitsui Trust,JP,holding,asia,,353800P843RLCDBLNT17,8309.T,,asia,true
qnb,Qatar National Bank (Q.P.S.C.),QNB,QA,bank,gulf,,549300FFSRVBS0SQXY75,QNBK.QA,,gulf,true
first-abu-dhabi-bank,First Abu Dhabi Bank P.J.S.C.,First Abu Dhabi Bank,AE,bank,gulf,,2138002Y3WMK6RZS8H90,FAB.AE,,gulf,true
emirates-nbd,Emirates NBD Bank P.J.S.C.,Emirates NBD,AE,bank,gulf,,54930029BCN8HF3B1286,EMIRATESNBD.AE,,gulf,true
adcb,Abu Dhabi Commercial Bank P.J.S.C.,ADCB,AE,bank,gulf,,213800RWVKKIRX1AUH58,ADCB.AE,,gulf,true
al-rajhi-bank,Al Rajhi Banking and Investment Corporation,Al Rajhi Bank,SA,bank,gulf,,558600BQZS4Y1DTU8589,1120.SR,,gulf,true
saudi-national-bank,The Saudi National Bank,Saudi National Bank,SA,bank,gulf,,5586006ZEFQ542K7CY16,1180.SR,,gulf,true
jpmorgan-chase,JPMorgan Chase & Co.,JPMorgan Chase,US,holding,us_ch,,8I5DZWZKVSZI1NUHU748,JPM,,us,true
jpmorgan-chase-bank,"JPMorgan Chase Bank, N.A.",JPMorgan Chase Bank,US,bank,us_ch,jpmorgan-chase,7H6GLXDRUGQFU57RNE97,,628,us,true
bank-of-america,Bank of America Corporation,Bank of America,US,holding,us_ch,,9DJT3UXIJIZJI4WXO774,BAC,,us,true
bank-of-america-na,"Bank of America, N.A.",Bank of America N.A.,US,bank,us_ch,bank-of-america,B4TYDEB6GKMZO031MB27,,3510,us,true
citigroup,Citigroup Inc.,Citigroup,US,holding,us_ch,,6SHGI4ZSSLCXXQSBB395,C,,us,true
citibank,"Citibank, N.A.",Citibank,US,bank,us_ch,citigroup,E57ODZWZ7FF32TWEFA76,,7213,us,true
wells-fargo,Wells Fargo & Company,Wells Fargo,US,holding,us_ch,,PBLD0EJDB5FWOLXP3B76,WFC,,us,true
wells-fargo-bank,"Wells Fargo Bank, N.A.",Wells Fargo Bank,US,bank,us_ch,wells-fargo,KB1H1DSPRFMYMCUFXT09,,3511,us,true
goldman-sachs,"The Goldman Sachs Group, Inc.",Goldman Sachs,US,holding,us_ch,,784F5XWPLTWKTBV3E584,GS,,us,true
goldman-sachs-bank-usa,Goldman Sachs Bank USA,GS Bank USA,US,bank,us_ch,goldman-sachs,KD3XUN7C6T14HNAYLU02,,33124,us,true
morgan-stanley,Morgan Stanley,Morgan Stanley,US,holding,us_ch,,IGJSJL3JD5P30I6NJZ34,MS,,us,true
morgan-stanley-bank,"Morgan Stanley Bank, N.A.",Morgan Stanley Bank,US,bank,us_ch,morgan-stanley,G1MLHIS0N32I3QPILB75,,32992,us,true
bny,The Bank of New York Mellon Corporation,BNY,US,holding,us_ch,,WFLLPEPC7FZXENRZV188,"BK,BNY",,us,true
bank-of-new-york-mellon,The Bank of New York Mellon,BNY (bank),US,bank,us_ch,bny,HPFHU0OQ28E4N0NFVK49,,639,us,true
state-street,State Street Corporation,State Street,US,holding,us_ch,,549300ZFEEJ2IP5VME73,STT,,us,true
state-street-bank,State Street Bank and Trust Company,State Street Bank,US,bank,us_ch,state-street,571474TGEMMWANRLN572,,14,us,true
northern-trust,Northern Trust Corporation,Northern Trust,US,holding,us_ch,,549300GLF98S992BC502,NTRS,,us,true
northern-trust-company,The Northern Trust Company,Northern Trust Co.,US,bank,us_ch,northern-trust,6PTKHDJ8HDUF78PFWH30,,913,us,true
ubs,UBS Group AG,UBS,CH,holding,us_ch,,549300SZJ9VS8SGXAN81,UBSG.SW,,ch,true
